id,product_name,current_price,list_price,brand,category,cpu,ram,storage,screen_size,screen_resolution,os,software,average_rating,product_url
176,"Laptop Acer Aspire 16 AI A16 71M 71U7 - NX.J4YSV.002 (Ultra 7 155H, 16GB, 512GB, Full HD+, Win11)",19190000.0,22590000.0,Acer,Laptop,N/A,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/acer-aspire-16-ai-a16-71m-71u7-ultra-7-nxj4ysv002
177,"Laptop HP Elitebook 635 Aero G11 - A8WS6PT (R5 8640U, 16GB, 512GB, WUXGA, Win11)",23190000.0,24890000.0,HP,Laptop,R5 8640U,16GB,512GB,N/A,WUXGA,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/hp-elitebook-635-aero-g11-r5-a8ws6pt
178,"Laptop Lenovo Gaming Legion 5 15IRX10 - 83LY00A6VN (i7 14700HX, 24GB, 512GB, RTX 5050 8GB, WQXGA OLED 165Hz, OfficeH24, Win11)",39290000.0,40290000.0,Lenovo,Laptop,i7 14700HX,24GB,512GB,N/A,N/A,Windows 11,OfficeH24,5.0,https://www.thegioididong.com/laptop/lenovo-legion-5-15irx10-i7-83ly00a6vn
179,"Laptop MSI Gaming Stealth 14 AI Studio A1VFG - 085VN (Ultra 7 155H, 32GB, 1TB, RTX 4060 8GB, 2.8K OLED 120Hz, Win11)",43730000.0,51090000.0,MSI,Laptop,N/A,32GB,1TB,N/A,2.8K,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/msi-stealth-14-ai-studio-a1vfg-ultra-7-085vn
180,"Laptop Lenovo Gaming Legion 5 15IRX10 - 83LY00HYVN (i7 14700HX, 16GB, 1TB, RTX 5050 8GB, WQXGA 165Hz, OfficeH24, Win11)",39990000.0,41990000.0,Lenovo,Laptop,i7 14700HX,16GB,1TB,N/A,N/A,Windows 11,OfficeH24,5.0,https://www.thegioididong.com/laptop/lenovo-gaming-legion-5-15irx10-i7-14700hx-83ly00hyvn
181,"Laptop Dell Inspiron 15 3520 - 71054775 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, KYHD, Win11)",15990000.0,16690000.0,Dell,Laptop,i5 1235U,16GB,512GB,N/A,Full HD,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71054775
182,"Laptop Dell Inspiron 7440 - N7440-C7U161W11IBU (Core 7 150U, 16GB, 1TB, Full HD+, Cảm ứng, OfficeHS, Win11)",29890000.0,32890000.0,Dell,Laptop,Core 7 150U,16GB,1TB,N/A,Full HD,Windows 11,OfficeHS,5.0,https://www.thegioididong.com/laptop/dell-inspiron-7440-core-7-n7440c7u161w11ibu
183,"Laptop HP Probook 450 G10 - 9H1N5PT (i5 1335U, 16GB, 512GB, Full HD, Win11)",19990000.0,22090000.0,HP,Laptop,i5 1335U,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/hp-probook-450-g10-i5-9h1n5pt
184,"Laptop Asus Vivobook 15 OLED A1505ZA - MA415W (i5 12500H, 16GB, 512GB, 2.8K OLED 120Hz, Win11)",16190000.0,19490000.0,Asus,Laptop,i5 12500H,16GB,512GB,N/A,2.8K,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/asus-asus-vivobook-15-oled-a1505za-i5-ma415w
185,"Laptop Asus TUF Gaming A15 FA506NCR - HN097W (R7 7435HS, 16GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",19390000.0,21590000.0,Asus,Laptop,R7 7435HS,16GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/asus-fa506ncr-r7-hn097w
186,"Laptop Acer Aspire Lite 14 51M 59BN - NX.KTXSV.001 (i5 1235U, 16GB, 512GB, Full HD+, Win11)",13690000.0,14790000.0,Acer,Laptop,i5 1235U,16GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001
187,"Laptop HP Elitebook 630 G10 - 9J0B4PT (i5 1335U, 16GB, 512GB, Full HD, Win11)",,,HP,Laptop,i5 1335U,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/hp-elitebook-630-g10-i5-19j0b4pt?utm_flashsale=1
188,"Laptop Lenovo V14 - 83HD0001VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",17090000.0,19190000.0,Lenovo,Laptop,Core 5 120U,16GB,512GB,N/A,Full HD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/lenovo-v14-core-5-83hd0001vn?utm_flashsale=1
189,"Laptop Lenovo ThinkBook 14 - 21SJ006YVN (Ultra 7 255H, 32GB, 1TB, WUXGA, Win11)",30290000.0,30990000.0,Lenovo,Laptop,N/A,32GB,1TB,N/A,WUXGA,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21sj006yvn
190,"Laptop Acer Aspire 3 A315 59 5283 - NX.K6TSV.00B (i5 1235U, 8GB, 512GB, Full HD, Win11)",11990000.0,15690000.0,Acer,Laptop,i5 1235U,8GB,512GB,N/A,Full HD,Windows 11,N/A,4.9,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b
191,"Laptop MSI Venture A14 AI+ A3HMG - 004VN (R5 AI 340, 16GB, 512GB, 2.8K OLED 120Hz, Win11)",25190000.0,25390000.0,MSI,Laptop,N/A,16GB,512GB,N/A,2.8K,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/msi-venture-a14-ai-a3hmg-r5-ai-340-004vn
192,"Laptop HP Gaming VICTUS 15 fa2732TX - B85LPPA (i5 13420H, 16GB, 512GB, RTX 4050 6GB, FHD 144Hz, Win11)",23190000.0,26490000.0,HP,Laptop,i5 13420H,16GB,512GB,N/A,FHD,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/hp-gaming-victus-15-fa2732tx-i5-13420h-b85lppa
193,"Laptop Lenovo ThinkBook 14 G8 - 21SG007SVN (Core 5 210H, 16GB, 512GB, WUXGA, Win11)",20790000.0,22990000.0,Lenovo,Laptop,N/A,16GB,512GB,N/A,WUXGA,Windows 11,N/A,5.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g8-core-5-210h-21sg007svn
194,"Laptop Dell Inspiron 15 3530 - N3530-i7U161W11SLU-BL (i7 1355U, 16GB, 1TB, Full HD 120Hz, OfficeH24+365, Win11)",21990000.0,24390000.0,Dell,Laptop,i7 1355U,16GB,1TB,N/A,Full HD,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i7-n3530-i7u161w11slu-bl
195,"Laptop Asus Vivobook 16 A1607CA - MB038WS (Ultra 5 225H, 16GB, 512GB, WUXGA, OfficeH24+365, Win11)",19990000.0,22490000.0,Asus,Laptop,N/A,16GB,512GB,N/A,WUXGA,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/asus-vivobook-16-a1607ca-ultra-5-mb038ws
196,"Laptop Dell Inspiron 15 3520 - N3520-i5U085W11BLU-FP (i5 1235U, 8GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",13490000.0,15690000.0,Dell,Laptop,i5 1235U,8GB,512GB,N/A,Full HD,Windows 11,OfficeH24+365,5.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-1235u-n3520i5u085w11blufp
