Tên,Giá,RAM,SSD
Acer Aspire 3 A315 44P R9W8 R7 5700U (NX.KSJSV.002),10.990.000₫,N/A,N/A
Acer Gaming Nitro 5 Tiger AN515 58 52SP i5 12500H (NH.QFHSV.001),18.690.000₫,N/A,N/A
MSI Modern 14 F1MG Core 5 120U (432VN),17.290.000₫,N/A,N/A
HP Envy X360 14 fa0097AU R5 8640HS (AY8U7PA),25.890.000₫,N/A,N/A
HP Envy x360 14 fc0162TU Ultra 5 125U (AY8X1PA),25.190.000₫,N/A,N/A
Lenovo ThinkBook 16 Ultra 7 255H (21SK006YVN),31.090.000₫,N/A,N/A
Dell Inspiron 14 5440 Core 5 120U (N4I5211W1),22.890.000₫,N/A,N/A
Asus Vivobook 15 X1504ZA i3 1215U (NJ102W),10.390.000₫,N/A,N/A
Acer Aspire Lite 14 51M 36PN i3 1215U (NX.KTWSV.001),9.990.000₫,N/A,N/A
Dell Inspiron 16 5640 Core 7 150U (N5640-C7U161W11IBU),24.990.000₫,N/A,N/A
Acer Swift Go 14 41 R251 R5 7430U (NX.KG3SV.005),16.290.000₫,N/A,N/A
Asus Gaming Vivobook K3605ZU i5 12500H (RP296W),22.690.000₫,N/A,N/A
Dell Inspiron 15 3530 i7 1355U (N3530-i7U161W11BLU-FP),21.990.000₫,N/A,N/A
GIGABYTE A16 GA6H i5 13420H (GAMING-A16-CMHH2VN893SH),23.390.000₫,N/A,N/A
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),25.090.000₫,N/A,N/A
MSI Venture A15 AI A2HMG R7 260 (003VN),19.690.000₫,N/A,N/A
HP OmniBook UF 14 fh0095TU Ultra 9 288V (BZ7S2PA),52.290.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i5 13500H (L1341W),16.190.000₫,N/A,N/A
Asus Zenbook 14 UX3405CA Ultra 9 285H (PZ204WS),35.290.000₫,N/A,N/A
HP VICTUS 15 fb3116AX R7 7445HS (BX8U4PA),22.690.000₫,N/A,N/A
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),14.690.000₫,N/A,N/A
Acer Aspire 5 A515 58M 79R7 i7 13620H (NX.KQ8SV.007),15.990.000₫,N/A,N/A
Dell Inspiron 14 5440 i5 1334U (NDY5V1),19.990.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10R Core 5 210H (83J0006CVN),24.090.000₫,N/A,N/A
Lenovo IdeaPad Slim 5 OLED 14IRH10R Core 5 210H (83J0006EVN),20.990.000₫,N/A,N/A
Dell G15 5530 i7 13650HX (i7HX161W11GR4060),36.190.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 41 R7CR R5 7535HS (NH.QPESV.003),24.990.000₫,N/A,N/A
MSI Gaming Katana 15 HX B14WFK i7 14650HX (267VN),38.190.000₫,N/A,N/A
Acer Gaming Nitro V 15 ProPanel ANV15 52 59AA i5 13420H (NH.QZ9SV.002),27.590.000₫,N/A,N/A
HP 240 G10 i5 1335U (9H2E4PT),15.990.000₫,N/A,N/A
GIGABYTE G6 MF RC56 i7 13620H (9RC56MF0HJIIXIVN000),23.390.000₫,N/A,N/A
Asus Vivobook 15 OLED A1505VA i9 13900H (MA586WS),21.190.000₫,N/A,N/A
Lenovo Gaming LOQ 15AHP10 R7 250 (83JG0047VN),31.690.000₫,N/A,N/A
HP VICTUS 16 r0283TX i5 13500H (AD9T3PA),19.990.000₫,N/A,N/A
Asus Zenbook A14 UX3407QA X1 26 100 (QD299WS),27.990.000₫,N/A,N/A
Dell Inspiron 15 3530 i5 1334U (N3530-i5U165W11SLU),17.490.000₫,N/A,N/A
Dell Inspiron 14 5440 Core 5 120U (N5440-C5U165W11IBD2),24.490.000₫,N/A,N/A
Acer Gaming Nitro V ANV15 51 57B2 i5 13420H (NH.QN8SV.001),21.490.000₫,N/A,N/A
HP Elitebook 630 G10 i7 1355U (9H1N9PT),24.490.000₫,N/A,N/A
